Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
3	Both1	BothTask	16	female	24	LABothGain	1	1692	List11	won	$7.00	$7.00	$0.00	$3.00	NULL	NULL	Mean Response.RT	1692.00
3	Both1	BothTask	17	female	24	LABothMixed	2	993	List11	lost	-$7.00	$8.00	-$7.00	$0.00	NULL	NULL	Mean Response.RT	993.00
3	Both1	BothTask	18	female	24	LABothGain	1	1038	List11	won	$25.00	$25.00	$0.00	$9.00	NULL	NULL	Mean Response.RT	1038.00
3	Both1	BothTask	19	female	24	LABothGain	1	1924	List11	lost	$0.00	$8.00	$0.00	$4.25	NULL	NULL	Mean Response.RT	1924.00
3	Both1	BothTask	20	female	24	LABothMixed	2	626	List11	lost	-$8.75	$10.00	-$8.75	$0.00	NULL	NULL	Mean Response.RT	626.00
3	Both1	BothTask	21	female	24	LABothMixed	2	632	List11	won	$4.00	$4.00	-$8.00	$0.00	NULL	NULL	Mean Response.RT	632.00
3	Both1	BothTask	22	female	24	LABothGain	1	533	List11	lost	$0.00	$17.00	$0.00	$9.00	NULL	NULL	Mean Response.RT	533.00
3	Both1	BothTask	23	female	24	LABothMixed	2	682	List11	won	$12.00	$12.00	-$18.00	$0.00	NULL	NULL	Mean Response.RT	682.00
3	Both1	BothTask	24	female	24	LABothGain	1	1159	List11	won	$10.00	$10.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	1159.00
3	Both1	BothTask	25	female	24	LABothGain	1	1165	List11	lost	$0.00	$13.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	1165.00
3	Both1	BothTask	26	female	24	LABothMixed	2	803	List11	lost	-$15.75	$9.00	-$15.75	$0.00	NULL	NULL	Mean Response.RT	803.00
3	Both1	BothTask	27	female	24	LABothMixed	2	353	List11	won	$5.00	$5.00	-$8.13	$0.00	NULL	NULL	Mean Response.RT	353.00
3	Both1	BothTask	28	female	24	LABothMixed	2	526	List11	won	$4.00	$4.00	-$4.00	$0.00	NULL	NULL	Mean Response.RT	526.00
3	Both1	BothTask	29	female	24	LABothGain	1	588	List11	won	$4.00	$4.00	$0.00	$2.25	NULL	NULL	Mean Response.RT	588.00
3	Both1	BothTask	30	female	24	LABothMixed	2	448	List11	lost	-$5.00	$5.00	-$5.00	$0.00	NULL	NULL	Mean Response.RT	448.00
3	Both2	BothTask	1	female	24	LABothGain	1	1898	List12	lost	$0.00	$30.00	$0.00	$12.00	NULL	NULL	Mean Response.RT	1898.00
3	Both2	BothTask	2	female	24	LABothMixed	2	663	List12	lost	-$6.00	$12.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	663.00
3	Both2	BothTask	3	female	24	LABothMixed	2	741	List12	won	$4.00	$4.00	-$5.00	$0.00	NULL	NULL	Mean Response.RT	741.00
3	Both2	BothTask	4	female	24	LABothGain	1	658	List12	lost	$0.00	$17.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	658.00
3	Both2	BothTask	5	female	24	LABothMixed	2	752	List12	won	$2.00	$2.00	-$3.25	$0.00	NULL	NULL	Mean Response.RT	752.00
3	Both2	BothTask	6	female	24	LABothMixed	2	437	List12	lost	-$6.00	$6.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	437.00
3	Both2	BothTask	7	female	24	LABothMixed	2	739	List12	won	$6.00	$6.00	-$4.50	$0.00	NULL	NULL	Mean Response.RT	739.00
3	Both2	BothTask	8	female	24	LABothMixed	1	1569	List12	lost	-$2.00	$4.00	-$2.00	$0.00	NULL	NULL	Mean Response.RT	1569.00
3	Both2	BothTask	9	female	24	LABothGain	1	1367	List12	won	$4.00	$4.00	$0.00	$2.00	NULL	NULL	Mean Response.RT	1367.00
3	Both2	BothTask	10	female	24	LABothMixed	2	781	List12	won	$9.00	$9.00	-$4.50	$0.00	NULL	NULL	Mean Response.RT	781.00
3	Both2	BothTask	11	female	24	LABothMixed	2	523	List12	lost	-$24.00	$12.00	-$24.00	$0.00	NULL	NULL	Mean Response.RT	523.00
3	Both2	BothTask	12	female	24	LABothGain	1	993	List12	won	$22.00	$22.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	993.00
3	Both2	BothTask	13	female	24	LABothMixed	2	1542	List12	won	$4.00	$4.00	-$7.00	$0.00	NULL	NULL	Mean Response.RT	1542.00
3	Both2	BothTask	14	female	24	LABothMixed	1	395	List12	won	$2.00	$2.00	-$0.75	$0.00	NULL	NULL	Mean Response.RT	395.00
3	Both2	BothTask	15	female	24	LABothMixed	2	505	List12	lost	-$2.25	$2.00	-$2.25	$0.00	NULL	NULL	Mean Response.RT	505.00
3	Both2	BothTask	16	female	24	LABothMixed	2	535	List12	lost	-$9.38	$5.00	-$9.38	$0.00	NULL	NULL	Mean Response.RT	535.00
3	Both2	BothTask	17	female	24	LABothMixed	2	580	List12	lost	-$15.00	$8.00	-$15.00	$0.00	NULL	NULL	Mean Response.RT	580.00
